82,180,-60.6,-69.79,-67.51
112,180,-67.42,-65.85,-68.5
142,180,-65.93,-64.15,-66.14
172,180,-64.84,-64.28,-62.89
202,180,-64.45,-66.23,-62.33
232,180,-60.72,-63.78,-63.09
262,180,-58.54,-61.98,-62.22
292,180,-58.98,-58.64,-63.67
292,210,-55.61,-57.97,-66.34
262,210,-53.83,-59.04,-65.42
232,210,-59.41,-61.46,-62.52
202,210,-59.5,-62.94,-62.7
172,210,-61.86,-62.96,-59.72
142,210,-61.33,-65.25,-51.82
112,210,-60.7,-65.64,-47.85
82,210,-56.99,-64.8,-41.86
82,240,-56.97,-65.63,-44.62
82,270,-52.01,-67.65,-49.13
112,240,-49.57,-67.44,-49.2
142,240,-48.53,-68.87,-51.47
172,240,-48.58,-69.31,-58.1
202,240,-49.13,-67.84,-58.23
232,240,-48.0,-65.0,-61.11
262,240,-53.42,-62.44,-59.99
292,240,-56.76,-61.39,-62.78
292,270,-51.59,-54.63,-62.28
262,270,-52.25,-59.94,-61.48
232,270,-59.12,-65.41,-60.62
202,270,-58.78,-62.83,-64.04
202,300,-56.68,-67.54,-59.72
232,300,-51.51,-64.17,-59.9
262,300,-48.04,-62.51,-64.06
292,300,-56.01,-59.09,-68.59
292,330,-57.31,-66.15,-65.83
262,330,-50.59,-65.36,-59.93
232,330,-46.04,-68.31,-59.88
202,330,-51.79,-64.55,-61.65
202,390,-41.9,-70.87,-62.06
232,390,-36.68,-72.89,-68.36
262,390,-36.98,-73.56,-65.73
292,390,-44.88,-73.07,-63.21
292,390,-51.31,-71.98,-66.16
262,390,-45.61,-70.28,-67.06
232,390,-34.56,-69.88,-63.12
202,390,-38.68,-67.92,-63.29
202,420,-37.2,-66.9,-70.84
232,420,-21.52,-72.03,-67.86
262,420,-40.46,-75.75,-65.31
292,420,-61.52,-76.83,-70.63
