x,y,sensor10_0,sensor11_0,sensor12_0,sensor20_0,sensor21_0,sensor22_0,sensor30_0,sensor31_0,sensor32_0,sensor40_0,sensor41_0,sensor42_0
18.5,11,-72.94083348,-80.53352136,-79.25482137,-80.14533042,-82.0551444,-79.82394366,-77.47849729,-73.41863891,-73.443629,-74.82056783,-67.98066726,-75.6183901
18.5,11.5,-74.81437546,-79.5417734,-79.23382167,-78.26416382,-82.0722457,-80.33983315,-75.81413664,-72.55398906,-72.57509592,-74.85659348,-70.30243021,-75.60810157
10,13.5,-75.56273137,-75.98498261,-76.97594216,-67.799563,-74.50852535,-68.83639692,-70.83532498,-65.65065745,-72.19961694,-82.40364708,-68.64777237,-73.94055608
10,13,-74.96503226,-75.71374719,-75.08258993,-68.48853015,-75.16726969,-68.74044288,-70.17196153,-66.90030039,-71.35969656,-81.04680382,-66.66143251,-70.67592935
2,9,-69.35919569,-67.64321112,-64.47534454,-66.3996293,-73.78119405,-76.42790319,-81.8242229,-79.20595254,-78.75707925,-81.79998898,-68.65101593,-74.89221665
2,9.5,-71.12006886,-68.45917881,-64.85662113,-66.80405339,-75.74616637,-74.23554661,-80.93840721,-80.8998,-79.31466056,-81.96450239,-67.77555977,-76.56745785
10.5,12,-73.22910535,-77.03629932,-73.49646387,-70.03777557,-73.75935535,-67.90448296,-70.5387926,-69.19221043,-70.78355447,-78.28397209,-66.87122149,-69.43607318
10.5,12.5,-74.19010907,-76.03172058,-74.37784173,-69.11679121,-74.41472437,-68.48466996,-70.25127949,-67.95058465,-71.19685367,-79.99998539,-66.64985495,-70.41863755
2.5,8.5,-68.45792223,-64.37395111,-63.61798365,-64.41974521,-75.00832639,-77.27453973,-80.3594012,-79.02184599,-78.7484408,-81.21678726,-68.98361565,-74.86641266
2.5,8,-68.13116657,-64.71102317,-62.6277921,-64.41974521,-74.30686417,-76.86950986,-80.64080438,-78.34189911,-77.18023256,-80.52684334,-72.18387066,-75.54055243
3.5,9.5,-67.01021016,-66.71412868,-67.50669913,-64.8786587,-72.31290139,-75.16718954,-83.25789944,-79.87076642,-81.62634785,-81.23649731,-69.4826327,-76.17866145
3.5,9,-66.61982028,-65.35191644,-65.94954883,-63.50375207,-74.2971785,-74.71401589,-80.38808625,-75.64679467,-78.31367034,-81.21991893,-69.20547753,-74.20022152
14.5,18,-77.53078018,-85.85982908,-74.38287494,-70.29677573,-72.886522,-81.85798486,-81.03075948,-67.52140129,-73.74480912,-85.4499462,-79.35177646,-84.51518375
21,0,-86.00938567,-80.14881536,-76.73954608,-87.6459398,-82.57748075,-84.23676607,-82.73695778,-82.49462662,-83.08074849,-77.15928458,-78.33397405,-81.26501726
21,0.5,-85.90619692,-80.49885998,-76.73418699,-87.22158818,-82.57748075,-83.80714371,-82.42027681,-82.49462662,-83.02331445,-77.12970985,-78.00470089,-81.21651902
13,1,-74.07790163,-76.84410897,-70.73732142,-79.88608072,-77.05507672,-76.53485747,-80.21612289,-78.85496969,-75.41697696,-62.8255272,-69.15645573,-62.58425555
13,1.5,-74.17836909,-75.88533768,-71.73704662,-78.68819143,-76.35978141,-75.17232221,-80.91769415,-80.23696035,-77.10865653,-62.15242585,-68.20319974,-62.93897761
16,6,-76.55287749,-78.79684793,-80.30138816,-80.04809094,-79.12260536,-79.46838583,-74.68525752,-75.12624583,-69.04866047,-69.52438827,-66.79863416,-73.84723616
16,6.5,-77.95495245,-80.59285587,-80.47967603,-79.65646244,-77.76186266,-80.37241611,-74.61648695,-74.96400191,-67.91614729,-68.19330855,-58.80977361,-75.45673214
17,7,-81.09473034,-81.44717226,-80.91554204,-78.5602526,-78.08634747,-79.96537943,-76.60473319,-76.94209772,-70.41341731,-70.09874412,-50.5082691,-73.82081353
17,7.5,-80.293283,-80.83335653,-80.86175451,-76.84740122,-80.72797321,-80.73404549,-75.79895297,-78.33067371,-71.72643312,-70.76689238,-48.41380966,-74.23301336
9,3,-72.81064438,-64.34905777,-71.26795286,-75.08749759,-80.02542775,-74.95284803,-85.53191866,-78.5996228,-72.88285566,-70.25607803,-69.60018964,-68.32271295
9,3.5,-70.1254154,-69.30513934,-73.45944092,-78.3906128,-82.94362129,-74.82875686,-78.59397904,-75.80078857,-78.44969633,-71.39549828,-65.33883701,-68.89826801
20,17,-78.10345173,-80.23713888,-76.70182911,-73.56302596,-74.44392076,-78.7853983,-73.13290486,-73.19929937,-75.2833059,-78.19889503,-73.65509316,-81.4086225
20,17.5,-82.98301294,-84.33969236,-67.58328747,-84.52958706,-70.95210124,-79.27615119,-78.35330049,-81.14270257,-79.86690381,-73.72732937,-74.0266103,-74.94746356
12,13,-72.9530433,-79.66088251,-75.23144431,-72.12822438,-74.41659457,-70.12542349,-64.04404929,-63.61906406,-70.18048379,-79.08266903,-64.695881,-77.55518555
12,13.5,-73.02703343,-79.66088251,-75.44616224,-72.00173372,-74.41659457,-70.12542349,-64.32372186,-63.61906406,-70.18048379,-79.08266903,-64.695881,-77.29247142
10.5,2,-76.17128968,-73.99966922,-73.83973655,-79.31774906,-83.11348848,-74.134891,-77.95583596,-76.09103486,-80.73413681,-64.81297574,-64.55634863,-65.84693597
10.5,2.5,-75.48617504,-74.05793817,-73.51879342,-78.08977583,-81.54380636,-73.70825674,-77.95583596,-76.07889195,-79.6523633,-64.87235689,-64.9194001,-66.84693597
1,3,-69.12912406,-72.15029007,-66.25861558,-75.85669838,-73.88990842,-79.18671975,-88.04425048,-78.62271219,-80.00900901,-79.15925634,-70.73413424,-82.47387855
1,3.5,-70.71750846,-68.96092151,-70.27480739,-71.75959753,-80.00268963,-77.97393272,-90.6651769,-80.6380288,-77.20408012,-81.32738036,-74.56633886,-74.47673311
13,14,-74.40539539,-81.71815567,-77.23167317,-73.1120323,-73.90186178,-73.94917056,-61.71852916,-63.57561497,-67.88019171,-77.66247379,-67.33764706,-80.93527659
13,14.5,-76.99430921,-81.25617414,-78.49238306,-72.0891477,-73.62114404,-75.65766088,-61.91089965,-64.43270569,-66.9217968,-77.47087328,-69.0069989,-80.4267978
5,9,-62.68507157,-67.65674357,-68.95337431,-62.65696087,-70.64990811,-69.66369666,-82.17136308,-70.48307184,-76.98671371,-80.52666173,-72.64622417,-74.06382095
5,9.5,-63.05409903,-68.36909735,-69.64563649,-63.32973085,-70.04588054,-69.91708466,-83.30407033,-72.71601741,-79.08706968,-80.47018154,-72.97055902,-75.29304245
13.5,12,-72.40159387,-73.52578944,-78.20718232,-75.77631908,-77.66889335,-80.73823701,-68.48171331,-74.64981504,-68.0673305,-71.15443218,-63.16175737,-78.61150289
13.5,12.5,-72.04253262,-81.89444406,-75.97954096,-75.32606526,-74.65157177,-71.51295033,-63.05263429,-64.78023924,-67.62158665,-75.156789,-64.35907395,-78.52707142
9,16,-75.54826738,-78.91602126,-81.45001373,-68.9028484,-72.99677914,-65.99300275,-73.58164175,-71.16197088,-72.26624983,-78.00802235,-73.32420339,-77.79915732
9,16.5,-75.86038983,-78.3519806,-81.56556899,-69.07985666,-73.43379018,-66.43183945,-73.0274897,-70.9867542,-72.49416868,-78.5807557,-73.76492994,-77.98006225
6.5,9,-65.22440161,-67.99124655,-69.97689305,-66.2781174,-73.2664493,-67.84186271,-85.15552399,-69.95034503,-74.52867257,-80.17508712,-72.30185,-73.70560025
6.5,9.5,-66.08517298,-69.73041275,-71.88372705,-68.56287756,-71.23338874,-68.32138721,-88.8552011,-74.60939154,-78.00261425,-80.50931832,-72.76948222,-76.16705272
9.5,14,-74.80414181,-76.25894664,-77.09835388,-67.46759329,-74.06664284,-66.45324482,-71.14916151,-67.3126731,-72.16186828,-80.69716956,-68.3184573,-72.62789481
9.5,14.5,-72.20513738,-78.57887263,-79.67482046,-64.66617636,-70.46775952,-68.19908475,-74.41739882,-64.84245077,-73.49068631,-80.96032054,-76.39157826,-81.70737347
15,12.5,-72.87984699,-73.25707984,-80.0408997,-75.28535391,-79.55886011,-79.71688071,-65.63384383,-74.14852386,-63.9796904,-70.60593495,-65.25910077,-77.69552363
2.5,11.5,-69.38470992,-76.65890621,-69.67062041,-78.19510816,-65.17846459,-71.5944612,-82.918608,-71.79621621,-78.58224435,-79.22101356,-72.70867379,-79.391195
2.5,11,-68.7024549,-75.65222222,-67.5125877,-78.04050524,-65.78782663,-73.54371378,-83.94650561,-70.7977931,-79.3801509,-77.88960469,-70.61981883,-78.75689977
1,16.5,-74.24732157,-72.0056598,-75.67484838,-80.48513871,-71.30979449,-69.4107388,-79.77628631,-79.95137213,-79.36352572,-85.36283364,-73.72979656,-79.1303833
1,16,-78.60853595,-73.87411242,-75.38866434,-75.27491972,-66.96540327,-71.39075925,-80.90240858,-78.284381,-79.32653848,-82.67262248,-76.25107006,-76.05915428
20,7,-85.99349666,-81.12026329,-80.3787994,-76.02819861,-79.7630316,-80.81533018,-80.88661749,-82.86300298,-77.92169295,-76.05608208,-62.92872928,-73.40034304
20,7.5,-82.92649455,-80.06478104,-79.32715641,-77.62401626,-78.5383616,-81.03814853,-79.54398542,-79.60393252,-76.88530839,-75.36234141,-67.59283491,-73.59996297
12,3,-73.86374488,-73.90730493,-73.00856456,-75.64020569,-76.03495046,-74.25567882,-82.41164601,-80.64078302,-76.72108559,-63.44234317,-66.90462652,-66.29609433
12,3.5,-72.56156163,-73.9775624,-71.95167257,-78.3263316,-77.25430883,-76.80379935,-80.87840986,-77.50868356,-75.5231615,-59.57271575,-64.10864034,-68.66852929
13,4,-71.19359492,-73.67015257,-71.45044007,-77.44976565,-74.31974515,-77.89132393,-82.53143799,-79.04350626,-73.51944828,-57.51075299,-64.53572401,-69.06345913
13,4.5,-71.19359492,-74.23604683,-71.45700986,-77.94211288,-74.31636554,-79.04222231,-82.34373211,-78.22784464,-72.49674419,-57.23766899,-64.22745958,-70.6356998
16,9.5,-74.52747087,-79.73804134,-79.27069356,-75.52942956,-82.1113891,-79.41586646,-70.75752494,-75.28657603,-66.98978098,-69.43707261,-60.22320312,-75.63483892
16,9,-74.43707441,-79.82976404,-79.90145286,-75.18661705,-83.38633652,-80.78760078,-71.33583329,-75.94537715,-68.03643422,-69.20350203,-58.55294331,-76.93194236
16.5,8,-78.0934403,-80.4839754,-80.57588406,-76.20205353,-82.24592763,-81.51974406,-74.36581904,-77.93493576,-70.99706657,-70.11904186,-50.87534549,-75.84314673
16.5,8.5,-74.50604141,-78.50279545,-78.82906997,-77.91762039,-81.1971957,-81.66499873,-72.45242183,-74.63678667,-69.84675955,-69.73557355,-59.53945928,-76.42418913
13.5,2,-75.32150772,-74.18164288,-72.98709874,-79.12133931,-75.69879187,-74.70301225,-82.08055321,-81.90111098,-78.19756883,-64.12153328,-66.20115575,-64.28712463
13.5,2.5,-75.32150772,-74.17876344,-72.98709874,-79.12133931,-75.69879187,-74.70301225,-82.08055321,-81.90111098,-77.90020566,-64.12153328,-66.20115575,-64.28712463
17.5,9,-74.6976687,-77.57912393,-77.54995438,-80.29461145,-77.38998517,-80.26552316,-73.06723376,-72.17493385,-70.17390567,-70.28367268,-62.18326039,-74.5266588
17.5,9.5,-75.08423653,-78.03669143,-77.19346959,-80.40335115,-75.56563677,-78.00619693,-72.72477807,-70.98880564,-68.36820852,-70.43621889,-64.8500498,-72.82404825
8,10,-68.38027557,-71.21646808,-71.31718193,-61.63607403,-71.51326206,-66.47436828,-83.83045593,-70.42941106,-73.65331344,-76.92164398,-71.49175546,-77.4399253
8,10.5,-69.03167772,-72.45797592,-71.45952004,-58.19501419,-70.29775637,-66.43579776,-81.97049396,-70.75409522,-74.2312553,-75.50914121,-71.15806828,-78.928708
0,6,-70.71738392,-69.2250989,-59.08990032,-70.70674377,-73.90419101,-74.88196965,-87.61623477,-79.64150084,-76.69705524,-83.85182632,-77.41042046,-74.66907783
0,6.5,-70.71738392,-69.2250989,-55.82837745,-70.70674377,-71.43223646,-73.94676056,-87.36590376,-79.33023819,-76.81337525,-83.91143564,-77.58454491,-74.67363308
11,15,-75.35620365,-80.20117514,-80.93427018,-68.28920776,-71.69342697,-70.9235082,-71.40831952,-65.17122912,-71.93920051,-79.90043999,-74.85815975,-82.0411943
11,15.5,-75.35620365,-80.20315356,-80.93427018,-68.28920776,-71.69342697,-70.65001422,-71.43153166,-65.17122912,-72.0180333,-79.90043999,-74.85815975,-82.0411943
9.5,4,-70.591101,-69.94201411,-73.47585655,-73.93270794,-79.28477717,-75.3678601,-81.08165581,-77.68517093,-73.98383122,-70.70202488,-66.08517191,-71.73214515
9.5,4.5,-70.89910958,-69.94422773,-73.46501753,-73.93270794,-79.28477717,-75.3678601,-81.08165581,-77.68517093,-73.98383122,-70.50727066,-66.08517191,-71.73214515
12,16,-80.26953811,-79.89364325,-81.34155843,-70.76711205,-74.74110174,-76.09369546,-66.50784887,-68.04847834,-68.42491884,-79.1115738,-73.53715883,-81.18287691
12,16.5,-80.63223705,-81.71288337,-79.25737011,-70.04186235,-77.03316975,-74.512033,-73.02169373,-64.36978885,-74.46837696,-80.54264486,-72.59329435,-81.81247505
4,12,-68.04630121,-76.03315213,-74.30575297,-72.11784513,-64.89189585,-68.39602215,-84.18768532,-78.0818569,-80.67995469,-82.40359891,-76.69096305,-80.82086096
4,12.5,-69.34732551,-76.63523732,-69.65627805,-76.1818089,-68.35943377,-68.04314508,-79.66327846,-74.36884775,-78.07999749,-81.13871341,-75.00614011,-74.5446573
12.5,15.5,-81.04788484,-81.55206306,-79.66080133,-70.11763978,-74.41747999,-78.61808333,-66.23876271,-64.01602889,-68.77675625,-78.80958907,-72.66186482,-80.9509589
12.5,15,-80.25415691,-79.18898029,-82.09094728,-70.97932121,-71.84194638,-80.45497552,-58.65604678,-67.85411153,-61.94057437,-77.28585414,-73.52146672,-80.18967534
1,6,-69.99584313,-67.93360544,-57.20914795,-72.23974226,-70.93421037,-75.31493355,-86.36237696,-79.64196921,-77.51229071,-80.90298482,-75.77704695,-74.66595129
1,6.5,-69.00585022,-67.60255209,-56.19632726,-68.33147061,-70.80264801,-74.24929933,-84.726516,-78.1753663,-75.83165679,-81.84420505,-79.36450743,-75.36319372
1.5,5,-69.1711609,-66.67367506,-59.86924983,-73.52676253,-72.00626157,-76.87176662,-85.36296381,-80.51890977,-78.4156329,-78.0836777,-73.64406724,-75.15119802
1.5,5.5,-68.74186352,-67.29990457,-64.45568585,-67.08653654,-77.38680003,-76.15144228,-85.14670484,-78.82096121,-74.57920792,-80.36174741,-78.53536359,-76.52715504
13.5,15,-81.04788484,-80.49223484,-80.13806769,-70.76796715,-74.84363053,-78.32898146,-64.91063341,-65.88220825,-65.46612137,-77.41442685,-72.36914023,-80.58818344
13.5,15.5,-81.04788484,-80.49223484,-80.13806769,-70.76796715,-74.84363053,-78.32898146,-64.91063341,-65.88220825,-65.46612137,-77.41442685,-72.36914023,-80.58818344
5.5,11.5,-65.90089917,-73.36894273,-72.24822148,-68.9895474,-67.44284442,-68.83559157,-85.37435611,-79.44844845,-82.81535878,-81.58623798,-75.09733907,-77.17389574
5.5,11,-64.90089917,-72.36894273,-72.2527295,-67.93886015,-67.11928319,-69.47974451,-87.23744721,-79.81290816,-83.84035993,-81.23910053,-74.39391579,-78.17665436
15,3,-77.25425533,-72.67704551,-73.36043195,-82.52535186,-76.66325435,-78.7756307,-82.79715144,-80.78041648,-73.56242189,-68.23322226,-63.12035187,-68.37279752
15,3.5,-75.96890748,-76.14454792,-77.51889844,-79.2290229,-79.45300909,-76.26846707,-78.34708774,-78.82265634,-75.2307935,-70.18462575,-71.58019279,-67.47129839
1.5,18,-74.90831245,-72.16412783,-74.39239473,-79.66458398,-72.27440014,-76.92651375,-79.05214215,-76.90397328,-76.86968646,-87.98035479,-67.37972023,-79.24346192
18,8.5,-76.16442223,-77.73467893,-77.51275049,-81.6166369,-75.10150068,-79.2783453,-74.65376943,-71.68276981,-70.83929554,-70.75485222,-61.18326039,-72.88185307
18,8,-78.15458731,-78.79963465,-78.52932679,-80.40549433,-76.06721511,-79.24657596,-75.6071619,-73.73047125,-71.08037781,-71.09937569,-56.18517505,-72.57173517
8,0,-74.99011768,-67.78873626,-75.38106996,-73.01835389,-78.74566851,-74.0172266,-83.64194166,-67.63476722,-80.39058094,-71.00448883,-68.94975043,-71.2526056
8,0.5,-74.25365189,-64.44764781,-73.72264791,-74.16366898,-79.99066918,-74.31488917,-84.66782784,-70.92232535,-78.01628987,-71.54021787,-69.63997764,-69.60138356
19,9,-75.83721708,-78.038591,-75.96418689,-82.69065112,-75.14358149,-78.97429221,-75.0281642,-73.77821001,-72.15682978,-73.18931644,-67.6789029,-76.95611023
19,9.5,-76.081319,-79.51403212,-75.4997817,-83.16263236,-77.37638924,-79.19239168,-75.42336656,-72.03486719,-73.06235928,-73.39436802,-65.95757794,-74.88551296
11,5,-74.50311479,-74.79519493,-74.84706678,-74.46742306,-76.2736665,-76.73103491,-79.8903992,-78.04152171,-72.86617694,-67.40062406,-67.79958137,-73.69309581
11,5.5,-75.66369776,-72.34283617,-71.95253639,-73.19042032,-76.99808848,-77.51166873,-82.8898029,-77.85448273,-72.08127672,-64.65075718,-65.82686423,-69.18187983
19.5,8,-79.49863184,-80.79840317,-77.31408416,-81.58979744,-76.81421772,-78.98182622,-77.31051418,-79.40761184,-74.25217729,-75.68502676,-62.42839707,-79.0715581
19.5,8.5,-76.45809052,-78.70876607,-75.66051614,-83.1269256,-75.59271092,-78.78714585,-75.36573616,-75.14915955,-72.92645009,-74.4039898,-69.18652395,-78.6364543
4,2.5,-74.55120132,-62.6977401,-70.72298813,-74.65747565,-75.17540817,-78.90786219,-89.31651555,-79.00305201,-81.87182461,-76.62567286,-68.78459861,-71.67997673
4,2,-74.55774699,-62.63825767,-70.72298813,-74.65747565,-75.17540817,-78.90786219,-89.31651555,-79.00305201,-81.87182461,-76.62567286,-68.78459861,-71.67997673
20.5,9,-77.19164866,-80.12493992,-74.39834025,-83.66211538,-76.30727201,-78.79777978,-76.88136095,-78.72911002,-75.55022565,-77.86782491,-73.01613801,-82.78416062
20.5,9.5,-77.44331612,-81.29293214,-73.75988218,-83.89946077,-78.1835625,-78.84346124,-77.23694441,-77.7724559,-76.05817744,-78.18930843,-71.67316969,-81.36908015
12.5,5,-73.18007848,-76.35543216,-74.03198216,-78.65990804,-74.60278259,-79.41898393,-79.66546567,-77.55689278,-72.80647163,-60.24111351,-67.09304756,-72.74556584
12.5,5.5,-74.03032088,-77.47204589,-74.86802773,-78.94153073,-74.60278259,-79.72599032,-78.25930658,-77.55497812,-72.80647163,-61.44947711,-68.22922304,-73.57216074
4.5,1,-76.20037637,-65.58718796,-71.43033915,-77.09457908,-76.75026166,-81.39788878,-88.83291514,-78.23392185,-79.90642214,-76.38624126,-70.68196736,-82.03889904
4.5,1.5,-77.65118355,-60.49223622,-73.1225889,-75.58346375,-76.575603,-77.84963557,-88.17532706,-79.00044291,-82.7672697,-76.65839953,-67.41456388,-72.79208596
3,6,-67.24021488,-65.36735555,-60.34438151,-67.71728761,-72.50014319,-76.26547875,-82.28764556,-78.28711265,-75.30596852,-76.99130991,-78.53479729,-77.20785293
3,6.5,-66.17289938,-65.90113602,-60.31542639,-63.82267572,-72.41445008,-75.20956283,-82.53710934,-77.28304992,-74.00690989,-77.28111526,-80.20467675,-77.23693719
14,15,-81.65392341,-80.30351938,-79.51527201,-70.76796715,-75.85264221,-77.67198865,-66.8438962,-65.88220825,-65.15902632,-76.83945895,-72.04170419,-80.87746293
14,15.5,-81.65392341,-80.30351938,-79.51527201,-70.76796715,-75.85264221,-77.67198865,-66.83394589,-65.88220825,-65.15902632,-76.83945895,-72.04170419,-80.87746293
16.5,11,-74.06151534,-80.32947886,-79.31012533,-77.43928741,-79.10983943,-76.28781947,-72.37762373,-72.66944852,-66.64690348,-71.24044391,-66.29460863,-73.03697355
16.5,11.5,-77.09400738,-79.65588816,-78.03521065,-75.87963266,-79.3554277,-75.87390345,-70.28872903,-71.8809245,-66.14329419,-71.65768226,-68.90018539,-73.10087343
15,16,-81.48250181,-81.29169413,-77.09594746,-71.40390106,-78.3931694,-77.73372144,-74.8503646,-67.25438807,-67.97451951,-78.93646432,-73.69338221,-81.58365161
15,16.5,-80.25621467,-82.17911451,-76.13868019,-71.4659878,-77.23720099,-79.34701828,-76.19997355,-67.78234734,-70.36439857,-81.74613948,-75.72410707,-81.77423908
7,12,-69.59951972,-75.13600756,-71.31602176,-62.57055895,-69.71238974,-65.33630992,-78.90259888,-73.08718121,-75.43444944,-78.12841213,-73.96401707,-77.11626244
7,12.5,-67.66793042,-74.40344466,-76.07454593,-62.43443528,-68.76040655,-69.39630825,-77.87696863,-69.63216109,-76.19708227,-81.45642392,-76.28950951,-79.98690972
15.5,15,-84.32489331,-78.75572194,-79.05943066,-70.92531543,-81.01858738,-74.16259327,-70.72637304,-66.00654668,-62.08228253,-72.58264145,-69.03635921,-80.7111307
15.5,15.5,-82.78668906,-79.96198758,-77.74805966,-71.25932588,-79.40382514,-76.48799175,-73.50217489,-66.58443734,-65.64714261,-76.50696454,-71.69863268,-81.31551897
5.5,1,-78.8818852,-61.88052406,-72.37580479,-76.62212485,-78.12541558,-81.35846193,-86.61174162,-78.31855585,-81.80842622,-75.46817117,-67.40170021,-79.70220312
5.5,1.5,-78.66319548,-60.70790243,-72.11089049,-75.74864082,-77.93134692,-81.14905855,-86.67154496,-78.47246865,-82.63932938,-75.35651404,-66.81372938,-76.86868589
0,9,-71.8514279,-76.34259893,-64.28860407,-72.81678982,-69.75102156,-71.12417763,-85.62175486,-79.4728204,-77.19293261,-81.92673386,-71.47566722,-77.8432538
0,9.5,-72.62225523,-76.85040025,-64.96772667,-72.95473575,-71.28718896,-70.10060307,-84.96301319,-80.37286427,-77.38567194,-82.21402763,-70.78094189,-78.74755257
8.5,12,-71.74513351,-74.09777565,-73.33244943,-59.34820791,-71.44293283,-67.1401197,-76.43966115,-68.7480773,-73.50229521,-77.24640559,-69.49115816,-77.2623035
8.5,12.5,-69.87507196,-76.29592291,-75.84773046,-63.75139627,-70.74628582,-68.46873302,-73.00023166,-66.88210696,-71.69668419,-79.79686814,-74.17694126,-76.77035175
0.5,8,-70.81893903,-73.31694873,-60.4688851,-72.06318784,-69.37303564,-73.00878398,-86.28762756,-78.52676345,-76.86657677,-82.72192171,-74.13257552,-76.0812094
0.5,8.5,-70.81806337,-74.97946751,-62.44748437,-72.64161408,-68.61959356,-72.71684056,-86.21669412,-78.52024396,-76.75607099,-82.02452561,-73.01463924,-76.42282647
11.5,17.5,-82.58380021,-78.48572017,-83.95423684,-74.37147839,-79.73849446,-75.94075769,-69.88826104,-71.92974357,-72.87984169,-83.022609,-75.5284665,-85.85473018
11.5,17,-80.20202363,-80.78635279,-80.243763,-70.73209089,-76.7381408,-73.54438149,-73.00898981,-66.3066517,-73.82472309,-80.68372844,-73.33122081,-81.56898023
12.5,18,-82.38271855,-86.52293427,-74.24595288,-68.32860428,-80.5627967,-73.81326026,-83.01948204,-55.22539672,-83.90564623,-82.2070642,-70.74579231,-82.70811705
4.5,14,-71.09832053,-75.96397314,-73.61067351,-77.23517204,-71.48901564,-63.29751376,-79.68310517,-76.46865137,-76.4903805,-83.95717609,-76.79999029,-74.718628
4.5,14.5,-76.14945187,-76.74588636,-76.85072477,-72.8875287,-66.65262137,-64.84097774,-76.33391994,-77.07716344,-75.6986289,-81.44511596,-73.03240062,-83.30770633
1.5,8,-69.62306865,-66.02934093,-60.30319311,-66.96870985,-73.2879991,-75.99226741,-82.9261838,-79.31711528,-78.30618209,-82.63258359,-71.63718849,-74.31738014
1.5,8.5,-69.83466381,-69.97453807,-64.47114767,-68.06533715,-72.3322418,-75.35625151,-82.68723777,-79.14070098,-78.27189847,-81.84432001,-69.46664814,-75.3912783
14,5,-72.85031364,-75.79895594,-74.28413478,-78.61306442,-75.59221158,-79.65410599,-79.65317445,-76.74943437,-69.92231346,-60.52988907,-63.7175816,-72.48818752
14,5.5,-77.56550566,-79.52141624,-79.20865441,-79.98085144,-77.82439664,-79.4746858,-74.90572897,-76.63702703,-73.71241216,-70.11050311,-73.25725008,-73.81361492
15,6,-75.23007284,-78.48007201,-77.87990924,-79.71888088,-77.01366751,-80.55310656,-75.69440138,-74.84876712,-67.72222236,-65.19039962,-63.63626261,-74.87084145
15,6.5,-76.93042725,-80.32429814,-79.8564958,-80.28954226,-77.42679843,-80.89794803,-73.36241286,-74.50246575,-68.04866047,-67.35783297,-65.13288459,-76.48733463
7,2,-74.08904469,-58.05377546,-70.87509823,-76.54781301,-80.81723211,-76.36514507,-87.47814988,-78.71058745,-76.35671948,-73.05010975,-69.78928704,-67.12900846
7,2.5,-74.2242544,-58.05377546,-70.87509823,-76.54781301,-80.81723211,-76.36514507,-87.47814988,-78.71058745,-76.72960279,-73.05010975,-69.78928704,-67.12900846
15.5,5,-76.70730787,-77.54883526,-80.17742969,-79.99516662,-80.38157667,-78.46308741,-75.91044883,-76.3060348,-71.86960462,-71.92455978,-70.35955558,-71.453797
15.5,5.5,-76.66059919,-78.18987299,-80.30138816,-80.04780555,-79.24931146,-79.46308741,-74.90820146,-75.3060348,-69.86960462,-70.27979819,-68.0164933,-73.19101222
18,11,-72.60365854,-79.5417734,-79.82566485,-79.13957597,-81.91704209,-80.01877934,-77.11909921,-73.00507893,-72.52311644,-74.53066098,-68.03539823,-75.45645112
7.5,1,-73.5919867,-62.77641601,-72.5991169,-75.16042062,-80.65797346,-74.39836875,-85.67223365,-73.36692462,-76.72638575,-71.81110561,-70.5834237,-68.29191244
7.5,1.5,-73.06499834,-60.71373475,-71.8831669,-75.89128381,-81.28139018,-74.44863927,-86.45902348,-75.01839377,-75.36185585,-71.87075285,-70.96206793,-67.31412857
18,11.5,-74.60365854,-79.5417734,-79.34289533,-78.45465865,-82.0722457,-80.33983315,-75.87386062,-72.56205081,-72.55832408,-74.85629745,-69.84026694,-75.60810157
18.5,10,-73.25308493,-78.85678338,-78.50933529,-80.7262833,-78.52770182,-79.81762256,-75.89735476,-72.32616675,-71.16380556,-72.58063455,-66.34667101,-74.4781433
18.5,10.5,-72.94222638,-79.19743998,-79.33098365,-80.1286808,-79.71677204,-80.00459151,-76.80959854,-72.34157104,-71.86932302,-73.22752435,-66.70171533,-74.61838112
8.5,2,-73.17090991,-62.70191261,-71.18265849,-77.975312,-82.39623663,-74.59319115,-84.99468477,-77.97786075,-75.54183927,-69.8154195,-69.89506983,-65.7101164
8.5,2.5,-73.17090991,-62.98434786,-71.18265849,-78.06990654,-82.39623663,-74.59319115,-84.87598417,-77.97786075,-75.5455525,-69.8154195,-69.89424254,-65.71286441
19.5,11,-75.27792708,-82.56418851,-75.97156169,-82.22584704,-82.60184561,-79.3426649,-77.65688497,-74.11742428,-75.50202936,-76.52937396,-68.61136549,-76.60344786
19.5,11.5,-78.86860321,-82.24041122,-73.97919977,-81.272513,-82.78286843,-79.21966781,-75.76812275,-73.33522942,-75.98543336,-77.5498123,-71.55859193,-77.46090338
11.5,7,-78.08965813,-76.21722346,-75.53155031,-75.28253847,-77.11949124,-78.65629167,-78.15000915,-76.85356347,-72.51964345,-68.61425586,-69.63607243,-72.98109744
11.5,7.5,-74.22804578,-71.69901064,-72.31782158,-72.057249,-75.75248326,-76.41143619,-77.98382061,-76.42972084,-70.41949255,-69.11181049,-65.64224498,-71.9480468
10,12,-73.2296948,-77.03904765,-73.69387394,-70.03777557,-73.75935535,-67.90448296,-70.5387926,-68.91110832,-70.78355447,-78.54123351,-66.87122149,-69.43607318
10,12.5,-74.16859418,-76.22709795,-74.18043165,-69.11679121,-74.41472437,-68.48466996,-70.25127949,-68.00071023,-71.19685367,-79.64411991,-66.64985495,-70.41863755
2,8,-69.45706521,-65.63102457,-61.79392246,-66.06373779,-74.14468102,-76.73358444,-82.09697094,-79.43854218,-78.77451017,-82.3986212,-70.4111732,-74.21638992
